CNPJ,RAZÃO,FANTASIA,ENDEREÇO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,MUNICÍPIO,ESTADO,BANDEIRA,PRODUTO,UNIDADE_DE_MEDIDA,PRECO_VENDA,DATA_DA_COLETA
2152353000132,DEPOSITO DE GAS CHAMA VIVA LTDA,,RUA PORTUGAL P GUIMARAES,705,,N S FATIMA,75709230,CATALAO,GOIAS,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,122.0,2026-06-11
2160136000194,COMERCIAL DE GAS GOULARTE,,"AVENIDA SATURNINO DE BRITO, 299",299,,VILA JARDIM,91320000,PORTO ALEGRE,RIO GRANDE DO SUL,NACIONAL GÁS BUTANO,GLP,R$ / 13 kg,105.0,2026-06-09
2189432000118,NILTON BRUNO CARLESSO FILHO,NILTON BRUNO CARLESSO FILHO,AVENIDA   TIARAJU,348,,IBIRAPUITA,97546550,ALEGRETE,RIO GRANDE DO SUL,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,110.0,2026-06-09
2200742000196,R.C.SILVA BARBOSA-ME,,R CARLOTA ÁREAS,42,QD 359 CJ CN ET4 NC 16,CIDADE NOVA,69098250,MANAUS,AMAZONAS,FOGAS,GLP,R$ / 13 kg,136.0,2026-06-09
2238110000111,XES - COMERCIO DE GAS LTDA,,RUA GILMAR DOS SANTOS DUARTE,91,,INOA (INOA),24942290,MARICA,RIO DE JANEIRO,BRANCA,GLP,R$ / 13 kg,97.0,2026-06-11
2264480000123,GAS EXPRESSO COMERCIO DE GAS LTDA,,RUA GETULIO VARGAS,11,,PATRIA NOVA,93410050,NOVO HAMBURGO,RIO GRANDE DO SUL,NACIONAL GÁS BUTANO,GLP,R$ / 13 kg,100.0,2026-06-11
2288588000156,BR DISTRIBUIDORA DE GAS LTDA,FRANCO,AVENIDA CARLOS BERCHIERI,3015,,JARDIM BELA VISTA,14870010,JABOTICABAL,SAO PAULO,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,97.99,2026-06-09
2306556000136,VALDEMIR LOURENÇO ALMERON LONDRINA,,RUA ERENILDA MARIA DE JESUS,163,,JARDIM PIAZENTIN,86043220,LONDRINA,PARANA,BRANCA,GLP,R$ / 13 kg,110.0,2026-06-08
2340373000137,M. A. COMERCIAL LTDA.,,RUA JOSEFA SANTANA MONTEIRO,55,SALÃO,CENTRO,49500000,ITABAIANA,SERGIPE,BAHIANA,GLP,R$ / 13 kg,115.0,2026-06-08
2397097000143,INTERGAZ  COM. E TRANSP. DE GAZ ENGARRAFADO E COM. E TRANSP. DE AGUA MINERAL LTDA,PR JAMBO GAZ,AVENIDA DO CURSINO,3626,,VILA MORAES,4132002,SAO PAULO,SAO PAULO,ULTRAGAZ,GLP,R$ / 13 kg,136.99,2026-06-08
